arm=clinical  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 11.39 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep8 step 240/348 loss 0.3605
  ep8 step 260/348 loss 0.3596
  ep8 step 280/348 loss 0.3602
  ep8 step 300/348 loss 0.3614
  ep8 step 320/348 loss 0.3605
  ep8 step 340/348 loss 0.3598
[grader] epoch 8/30 loss 0.3601 AUC(ref) 0.8932 QWK 0.7076 acc 0.5651 sens(g>=3) 0.7303
  ep9 step 0/348 loss 0.4460
  ep9 step 20/348 loss 0.3436
  ep9 step 40/348 loss 0.3552
  ep9 step 60/348 loss 0.3629
  ep9 step 80/348 loss 0.3609
  ep9 step 100/348 loss 0.3666
  ep9 step 120/348 loss 0.3716
  ep9 step 140/348 loss 0.3701
  ep9 step 160/348 loss 0.3657
  ep9 step 180/348 loss 0.3612
  ep9 step 200/348 loss 0.3622
  ep9 step 220/348 loss 0.3598
  ep9 step 240/348 loss 0.3601
  ep9 step 260/348 loss 0.3593
  ep9 step 280/348 loss 0.3586
  ep9 step 300/348 loss 0.3596
  ep9 step 320/348 loss 0.3616
  ep9 step 340/348 loss 0.3613
[grader] epoch 9/30 loss 0.3610 AUC(ref) 0.8933 QWK 0.7024 acc 0.5615 sens(g>=3) 0.7303
  ep10 step 0/348 loss 0.3341
  ep10 step 20/348 loss 0.3566
  ep10 step 40/348 loss 0.3450
  ep10 step 60/348 loss 0.3468
  ep10 step 80/348 loss 0.3465
  ep10 step 100/348 loss 0.3472
  ep10 step 120/348 loss 0.3455
  ep10 step 140/348 loss 0.3499
  ep10 step 160/348 loss 0.3521
  ep10 step 180/348 loss 0.3534
  ep10 step 200/348 loss 0.3540
  ep10 step 220/348 loss 0.3507
  ep10 step 240/348 loss 0.3514
  ep10 step 260/348 loss 0.3512
  ep10 step 280/348 loss 0.3531
  ep10 step 300/348 loss 0.3523
  ep10 step 320/348 loss 0.3500
  ep10 step 340/348 loss 0.3499
