arm=cnn  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.34 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep8 step 240/348 loss 0.1694
  ep8 step 260/348 loss 0.1693
  ep8 step 280/348 loss 0.1675
  ep8 step 300/348 loss 0.1670
  ep8 step 320/348 loss 0.1673
  ep8 step 340/348 loss 0.1667
[grader] epoch 8/30 loss 0.1662 AUC(ref) 0.9529 QWK 0.8293 acc 0.7141 sens(g>=3) 0.7344
  ep9 step 0/348 loss 0.1566
  ep9 step 20/348 loss 0.1484
  ep9 step 40/348 loss 0.1524
  ep9 step 60/348 loss 0.1493
  ep9 step 80/348 loss 0.1616
  ep9 step 100/348 loss 0.1616
  ep9 step 120/348 loss 0.1630
  ep9 step 140/348 loss 0.1597
  ep9 step 160/348 loss 0.1597
  ep9 step 180/348 loss 0.1594
  ep9 step 200/348 loss 0.1587
  ep9 step 220/348 loss 0.1577
  ep9 step 240/348 loss 0.1551
  ep9 step 260/348 loss 0.1530
  ep9 step 280/348 loss 0.1502
  ep9 step 300/348 loss 0.1503
  ep9 step 320/348 loss 0.1503
  ep9 step 340/348 loss 0.1505
[grader] epoch 9/30 loss 0.1506 AUC(ref) 0.9540 QWK 0.8414 acc 0.7193 sens(g>=3) 0.7676
  ep10 step 0/348 loss 0.1302
  ep10 step 20/348 loss 0.1311
  ep10 step 40/348 loss 0.1515
  ep10 step 60/348 loss 0.1465
  ep10 step 80/348 loss 0.1439
  ep10 step 100/348 loss 0.1373
  ep10 step 120/348 loss 0.1315
  ep10 step 140/348 loss 0.1310
  ep10 step 160/348 loss 0.1322
  ep10 step 180/348 loss 0.1322
  ep10 step 200/348 loss 0.1328
  ep10 step 220/348 loss 0.1324
  ep10 step 240/348 loss 0.1339
  ep10 step 260/348 loss 0.1340
  ep10 step 280/348 loss 0.1347
  ep10 step 300/348 loss 0.1357
  ep10 step 320/348 loss 0.1363
  ep10 step 340/348 loss 0.1372
