arm=clinical  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 11.39 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep8 step 240/348 loss 0.4576
  ep8 step 260/348 loss 0.4565
  ep8 step 280/348 loss 0.4563
  ep8 step 300/348 loss 0.4558
  ep8 step 320/348 loss 0.4556
  ep8 step 340/348 loss 0.4551
[grader] epoch 8/30 loss 0.4547 AUC(ref) 0.7894 QWK 0.4884 acc 0.3012 sens(g>=3) 0.6639
  ep9 step 0/348 loss 0.4646
  ep9 step 20/348 loss 0.4562
  ep9 step 40/348 loss 0.4485
  ep9 step 60/348 loss 0.4590
  ep9 step 80/348 loss 0.4616
  ep9 step 100/348 loss 0.4591
  ep9 step 120/348 loss 0.4607
  ep9 step 140/348 loss 0.4615
  ep9 step 160/348 loss 0.4615
  ep9 step 180/348 loss 0.4567
  ep9 step 200/348 loss 0.4569
  ep9 step 220/348 loss 0.4572
  ep9 step 240/348 loss 0.4565
  ep9 step 260/348 loss 0.4572
  ep9 step 280/348 loss 0.4554
  ep9 step 300/348 loss 0.4569
  ep9 step 320/348 loss 0.4553
  ep9 step 340/348 loss 0.4560
[grader] epoch 9/30 loss 0.4555 AUC(ref) 0.7908 QWK 0.4997 acc 0.3204 sens(g>=3) 0.6680
  ep10 step 0/348 loss 0.4255
  ep10 step 20/348 loss 0.4609
  ep10 step 40/348 loss 0.4463
  ep10 step 60/348 loss 0.4537
  ep10 step 80/348 loss 0.4541
  ep10 step 100/348 loss 0.4593
  ep10 step 120/348 loss 0.4594
  ep10 step 140/348 loss 0.4558
  ep10 step 160/348 loss 0.4557
  ep10 step 180/348 loss 0.4511
  ep10 step 200/348 loss 0.4506
  ep10 step 220/348 loss 0.4482
  ep10 step 240/348 loss 0.4459
  ep10 step 260/348 loss 0.4489
  ep10 step 280/348 loss 0.4473
  ep10 step 300/348 loss 0.4459
  ep10 step 320/348 loss 0.4444
  ep10 step 340/348 loss 0.4445
[grader] epoch 10/30 loss 0.4442 AUC(ref) 0.7914 QWK 0.5027 acc 0.3356 sens(g>=3) 0.6846
  ep11 step 0/348 loss 0.4420
  ep11 step 20/348 loss 0.4429
  ep11 step 40/348 loss 0.4617
  ep11 step 60/348 loss 0.4586
  ep11 step 80/348 loss 0.4607
  ep11 step 100/348 loss 0.4521
  ep11 step 120/348 loss 0.4513
  ep11 step 140/348 loss 0.4512
