Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep8 step 200/348 loss 0.1492
  ep8 step 220/348 loss 0.1475
  ep8 step 240/348 loss 0.1479
  ep8 step 260/348 loss 0.1469
  ep8 step 280/348 loss 0.1446
  ep8 step 300/348 loss 0.1450
  ep8 step 320/348 loss 0.1442
  ep8 step 340/348 loss 0.1447
[grader] epoch 8/30 loss 0.1446 AUC(ref) 0.9540 QWK 0.8391 acc 0.7229 sens(g>=3) 0.8091
  ep9 step 0/348 loss 0.1922
  ep9 step 20/348 loss 0.1402
  ep9 step 40/348 loss 0.1229
  ep9 step 60/348 loss 0.1304
  ep9 step 80/348 loss 0.1310
  ep9 step 100/348 loss 0.1332
  ep9 step 120/348 loss 0.1344
  ep9 step 140/348 loss 0.1354
  ep9 step 160/348 loss 0.1342
  ep9 step 180/348 loss 0.1333
  ep9 step 200/348 loss 0.1351
  ep9 step 220/348 loss 0.1342
  ep9 step 240/348 loss 0.1336
  ep9 step 260/348 loss 0.1333
  ep9 step 280/348 loss 0.1341
  ep9 step 300/348 loss 0.1335
  ep9 step 320/348 loss 0.1326
  ep9 step 340/348 loss 0.1309
[grader] epoch 9/30 loss 0.1304 AUC(ref) 0.9540 QWK 0.8409 acc 0.7321 sens(g>=3) 0.8174
  ep10 step 0/348 loss 0.1011
  ep10 step 20/348 loss 0.1152
  ep10 step 40/348 loss 0.1165
  ep10 step 60/348 loss 0.1125
  ep10 step 80/348 loss 0.1174
  ep10 step 100/348 loss 0.1216
  ep10 step 120/348 loss 0.1183
  ep10 step 140/348 loss 0.1192
  ep10 step 160/348 loss 0.1173
  ep10 step 180/348 loss 0.1188
  ep10 step 200/348 loss 0.1182
  ep10 step 220/348 loss 0.1168
  ep10 step 240/348 loss 0.1181
  ep10 step 260/348 loss 0.1211
  ep10 step 280/348 loss 0.1213
  ep10 step 300/348 loss 0.1202
  ep10 step 320/348 loss 0.1185
  ep10 step 340/348 loss 0.1172
[grader] epoch 10/30 loss 0.1169 AUC(ref) 0.9532 QWK 0.8433 acc 0.7461 sens(g>=3) 0.8257
  ep11 step 0/348 loss 0.1056
  ep11 step 20/348 loss 0.1281
  ep11 step 40/348 loss 0.1165
  ep11 step 60/348 loss 0.1088
  ep11 step 80/348 loss 0.1094
  ep11 step 100/348 loss 0.1101
  ep11 step 120/348 loss 0.1097
  ep11 step 140/348 loss 0.1094
  ep11 step 160/348 loss 0.1062
  ep11 step 180/348 loss 0.1057
  ep11 step 200/348 loss 0.1041
  ep11 step 220/348 loss 0.1035
  ep11 step 240/348 loss 0.1037
  ep11 step 260/348 loss 0.1033
  ep11 step 280/348 loss 0.1019
  ep11 step 300/348 loss 0.1026
  ep11 step 320/348 loss 0.1026
  ep11 step 340/348 loss 0.1023
[grader] epoch 11/30 loss 0.1023 AUC(ref) 0.9523 QWK 0.8466 acc 0.7481 sens(g>=3) 0.8340
  ep12 step 0/348 loss 0.0319
  ep12 step 20/348 loss 0.1015
  ep12 step 40/348 loss 0.1010
  ep12 step 60/348 loss 0.0956
  ep12 step 80/348 loss 0.0942
  ep12 step 100/348 loss 0.0984
  ep12 step 120/348 loss 0.0968
  ep12 step 140/348 loss 0.0946
  ep12 step 160/348 loss 0.0954
  ep12 step 180/348 loss 0.0949
  ep12 step 200/348 loss 0.0946
  ep12 step 220/348 loss 0.0950
  ep12 step 240/348 loss 0.0959
  ep12 step 260/348 loss 0.0962
  ep12 step 280/348 loss 0.0966
  ep12 step 300/348 loss 0.0957
  ep12 step 320/348 loss 0.0949
  ep12 step 340/348 loss 0.0949
[grader] epoch 12/30 loss 0.0942 AUC(ref) 0.9526 QWK 0.8401 acc 0.7525 sens(g>=3) 0.8340
  ep13 step 0/348 loss 0.0351
  ep13 step 20/348 loss 0.0788
  ep13 step 40/348 loss 0.0830
  ep13 step 60/348 loss 0.0801
  ep13 step 80/348 loss 0.0835
  ep13 step 100/348 loss 0.0873
  ep13 step 120/348 loss 0.0905
  ep13 step 140/348 loss 0.0887
  ep13 step 160/348 loss 0.0898
  ep13 step 180/348 loss 0.0896
  ep13 step 200/348 loss 0.0889
  ep13 step 220/348 loss 0.0891
  ep13 step 240/348 loss 0.0876
  ep13 step 260/348 loss 0.0874
  ep13 step 280/348 loss 0.0885
  ep13 step 300/348 loss 0.0878
  ep13 step 320/348 loss 0.0893
