Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep8 step 200/348 loss 0.1652
  ep8 step 220/348 loss 0.1646
  ep8 step 240/348 loss 0.1653
  ep8 step 260/348 loss 0.1662
  ep8 step 280/348 loss 0.1640
  ep8 step 300/348 loss 0.1639
  ep8 step 320/348 loss 0.1634
  ep8 step 340/348 loss 0.1638
[grader] epoch 8/30 loss 0.1641 AUC(ref) 0.9387 QWK 0.8177 acc 0.6572 sens(g>=3) 0.6971
  ep9 step 0/348 loss 0.1412
  ep9 step 20/348 loss 0.1863
  ep9 step 40/348 loss 0.1823
  ep9 step 60/348 loss 0.1736
  ep9 step 80/348 loss 0.1774
  ep9 step 100/348 loss 0.1668
  ep9 step 120/348 loss 0.1620
  ep9 step 140/348 loss 0.1632
  ep9 step 160/348 loss 0.1604
  ep9 step 180/348 loss 0.1577
  ep9 step 200/348 loss 0.1536
  ep9 step 220/348 loss 0.1499
  ep9 step 240/348 loss 0.1490
  ep9 step 260/348 loss 0.1489
  ep9 step 280/348 loss 0.1480
  ep9 step 300/348 loss 0.1473
  ep9 step 320/348 loss 0.1468
  ep9 step 340/348 loss 0.1465
[grader] epoch 9/30 loss 0.1456 AUC(ref) 0.9426 QWK 0.8324 acc 0.6844 sens(g>=3) 0.7220
  ep10 step 0/348 loss 0.2178
  ep10 step 20/348 loss 0.1486
  ep10 step 40/348 loss 0.1601
  ep10 step 60/348 loss 0.1509
  ep10 step 80/348 loss 0.1587
  ep10 step 100/348 loss 0.1515
  ep10 step 120/348 loss 0.1489
  ep10 step 140/348 loss 0.1488
  ep10 step 160/348 loss 0.1445
  ep10 step 180/348 loss 0.1449
  ep10 step 200/348 loss 0.1458
  ep10 step 220/348 loss 0.1466
  ep10 step 240/348 loss 0.1444
  ep10 step 260/348 loss 0.1439
  ep10 step 280/348 loss 0.1420
  ep10 step 300/348 loss 0.1421
  ep10 step 320/348 loss 0.1411
  ep10 step 340/348 loss 0.1402
[grader] epoch 10/30 loss 0.1404 AUC(ref) 0.9448 QWK 0.8418 acc 0.7036 sens(g>=3) 0.7593
  ep11 step 0/348 loss 0.1108
  ep11 step 20/348 loss 0.1407
  ep11 step 40/348 loss 0.1490
  ep11 step 60/348 loss 0.1362
  ep11 step 80/348 loss 0.1354
  ep11 step 100/348 loss 0.1316
  ep11 step 120/348 loss 0.1299
  ep11 step 140/348 loss 0.1315
  ep11 step 160/348 loss 0.1293
  ep11 step 180/348 loss 0.1286
  ep11 step 200/348 loss 0.1276
  ep11 step 220/348 loss 0.1278
  ep11 step 240/348 loss 0.1252
  ep11 step 260/348 loss 0.1252
  ep11 step 280/348 loss 0.1228
  ep11 step 300/348 loss 0.1227
  ep11 step 320/348 loss 0.1228
  ep11 step 340/348 loss 0.1227
[grader] epoch 11/30 loss 0.1224 AUC(ref) 0.9454 QWK 0.8453 acc 0.7209 sens(g>=3) 0.8008
  ep12 step 0/348 loss 0.1541
  ep12 step 20/348 loss 0.1026
  ep12 step 40/348 loss 0.1013
  ep12 step 60/348 loss 0.1049
  ep12 step 80/348 loss 0.0995
  ep12 step 100/348 loss 0.0968
  ep12 step 120/348 loss 0.0968
  ep12 step 140/348 loss 0.0970
  ep12 step 160/348 loss 0.0973
  ep12 step 180/348 loss 0.0991
  ep12 step 200/348 loss 0.0977
  ep12 step 220/348 loss 0.0987
  ep12 step 240/348 loss 0.0981
  ep12 step 260/348 loss 0.0973
  ep12 step 280/348 loss 0.0963
  ep12 step 300/348 loss 0.0962
  ep12 step 320/348 loss 0.0955
  ep12 step 340/348 loss 0.0952
[grader] epoch 12/30 loss 0.0957 AUC(ref) 0.9458 QWK 0.8500 acc 0.7385 sens(g>=3) 0.8174
  ep13 step 0/348 loss 0.0726
  ep13 step 20/348 loss 0.1065
  ep13 step 40/348 loss 0.1056
  ep13 step 60/348 loss 0.1121
  ep13 step 80/348 loss 0.1022
  ep13 step 100/348 loss 0.0994
  ep13 step 120/348 loss 0.0943
  ep13 step 140/348 loss 0.0938
  ep13 step 160/348 loss 0.0926
  ep13 step 180/348 loss 0.0912
  ep13 step 200/348 loss 0.0931
  ep13 step 220/348 loss 0.0921
  ep13 step 240/348 loss 0.0917
  ep13 step 260/348 loss 0.0911
  ep13 step 280/348 loss 0.0912
  ep13 step 300/348 loss 0.0906
  ep13 step 320/348 loss 0.0914
  ep13 step 340/348 loss 0.0910
[grader] epoch 13/30 loss 0.0906 AUC(ref) 0.9464 QWK 0.8506 acc 0.7509 sens(g>=3) 0.8257
  ep14 step 0/348 loss 0.0435
  ep14 step 20/348 loss 0.1085
  ep14 step 40/348 loss 0.1084
  ep14 step 60/348 loss 0.0992
  ep14 step 80/348 loss 0.0994
  ep14 step 100/348 loss 0.0944
  ep14 step 120/348 loss 0.0902
  ep14 step 140/348 loss 0.0913
  ep14 step 160/348 loss 0.0939
  ep14 step 180/348 loss 0.0905
  ep14 step 200/348 loss 0.0891
  ep14 step 220/348 loss 0.0895
  ep14 step 240/348 loss 0.0896
  ep14 step 260/348 loss 0.0903
  ep14 step 280/348 loss 0.0905
  ep14 step 300/348 loss 0.0893
  ep14 step 320/348 loss 0.0882
  ep14 step 340/348 loss 0.0886
[grader] epoch 14/30 loss 0.0884 AUC(ref) 0.9472 QWK 0.8535 acc 0.7597 sens(g>=3) 0.8465
  ep15 step 0/348 loss 0.0282
  ep15 step 20/348 loss 0.0736
  ep15 step 40/348 loss 0.0733
  ep15 step 60/348 loss 0.0808
  ep15 step 80/348 loss 0.0766
  ep15 step 100/348 loss 0.0793
  ep15 step 120/348 loss 0.0765
  ep15 step 140/348 loss 0.0760
  ep15 step 160/348 loss 0.0769
  ep15 step 180/348 loss 0.0747
  ep15 step 200/348 loss 0.0777
  ep15 step 220/348 loss 0.0763
  ep15 step 240/348 loss 0.0759
  ep15 step 260/348 loss 0.0764
  ep15 step 280/348 loss 0.0760
  ep15 step 300/348 loss 0.0745
  ep15 step 320/348 loss 0.0758
  ep15 step 340/348 loss 0.0760
[grader] epoch 15/30 loss 0.0756 AUC(ref) 0.9471 QWK 0.8534 acc 0.7621 sens(g>=3) 0.8423
  ep16 step 0/348 loss 0.0477
  ep16 step 20/348 loss 0.0622
  ep16 step 40/348 loss 0.0651
  ep16 step 60/348 loss 0.0692
  ep16 step 80/348 loss 0.0759
  ep16 step 100/348 loss 0.0768
  ep16 step 120/348 loss 0.0785
  ep16 step 140/348 loss 0.0784
  ep16 step 160/348 loss 0.0808
  ep16 step 180/348 loss 0.0777
  ep16 step 200/348 loss 0.0778
  ep16 step 220/348 loss 0.0758
  ep16 step 240/348 loss 0.0741
  ep16 step 260/348 loss 0.0725
  ep16 step 280/348 loss 0.0723
  ep16 step 300/348 loss 0.0725
  ep16 step 320/348 loss 0.0733
  ep16 step 340/348 loss 0.0731
[grader] epoch 16/30 loss 0.0726 AUC(ref) 0.9474 QWK 0.8506 acc 0.7601 sens(g>=3) 0.8423
  ep17 step 0/348 loss 0.1724
  ep17 step 20/348 loss 0.1005
  ep17 step 40/348 loss 0.0793
  ep17 step 60/348 loss 0.0798
  ep17 step 80/348 loss 0.0767
  ep17 step 100/348 loss 0.0758
  ep17 step 120/348 loss 0.0786
  ep17 step 140/348 loss 0.0771
  ep17 step 160/348 loss 0.0746
  ep17 step 180/348 loss 0.0711
  ep17 step 200/348 loss 0.0695
  ep17 step 220/348 loss 0.0698
  ep17 step 240/348 loss 0.0689
  ep17 step 260/348 loss 0.0682
  ep17 step 280/348 loss 0.0688
  ep17 step 300/348 loss 0.0680
  ep17 step 320/348 loss 0.0665
  ep17 step 340/348 loss 0.0664
[grader] epoch 17/30 loss 0.0660 AUC(ref) 0.9472 QWK 0.8503 acc 0.7637 sens(g>=3) 0.8423
  ep18 step 0/348 loss 0.0387
  ep18 step 20/348 loss 0.0490
  ep18 step 40/348 loss 0.0576
  ep18 step 60/348 loss 0.0588
  ep18 step 80/348 loss 0.0543
  ep18 step 100/348 loss 0.0544
  ep18 step 120/348 loss 0.0540
  ep18 step 140/348 loss 0.0527
  ep18 step 160/348 loss 0.0512
  ep18 step 180/348 loss 0.0514
  ep18 step 200/348 loss 0.0518
  ep18 step 220/348 loss 0.0521
  ep18 step 240/348 loss 0.0519
  ep18 step 260/348 loss 0.0515
  ep18 step 280/348 loss 0.0512
  ep18 step 300/348 loss 0.0508
  ep18 step 320/348 loss 0.0512
  ep18 step 340/348 loss 0.0520
[grader] epoch 18/30 loss 0.0519 AUC(ref) 0.9487 QWK 0.8526 acc 0.7717 sens(g>=3) 0.8382
  ep19 step 0/348 loss 0.0713
  ep19 step 20/348 loss 0.0628
  ep19 step 40/348 loss 0.0685
  ep19 step 60/348 loss 0.0614
  ep19 step 80/348 loss 0.0644
  ep19 step 100/348 loss 0.0601
  ep19 step 120/348 loss 0.0599
  ep19 step 140/348 loss 0.0574
  ep19 step 160/348 loss 0.0573
  ep19 step 180/348 loss 0.0553
  ep19 step 200/348 loss 0.0564
  ep19 step 220/348 loss 0.0563
  ep19 step 240/348 loss 0.0553
  ep19 step 260/348 loss 0.0537
  ep19 step 280/348 loss 0.0525
  ep19 step 300/348 loss 0.0518
  ep19 step 320/348 loss 0.0522
  ep19 step 340/348 loss 0.0533
[grader] epoch 19/30 loss 0.0533 AUC(ref) 0.9497 QWK 0.8485 acc 0.7749 sens(g>=3) 0.8257
  ep20 step 0/348 loss 0.0160
  ep20 step 20/348 loss 0.0534
  ep20 step 40/348 loss 0.0523
  ep20 step 60/348 loss 0.0454
  ep20 step 80/348 loss 0.0457
  ep20 step 100/348 loss 0.0472
  ep20 step 120/348 loss 0.0485
  ep20 step 140/348 loss 0.0472
  ep20 step 160/348 loss 0.0497
  ep20 step 180/348 loss 0.0487
  ep20 step 200/348 loss 0.0484
  ep20 step 220/348 loss 0.0468
  ep20 step 240/348 loss 0.0459
  ep20 step 260/348 loss 0.0476
  ep20 step 280/348 loss 0.0484
  ep20 step 300/348 loss 0.0486
  ep20 step 320/348 loss 0.0474
  ep20 step 340/348 loss 0.0469
[grader] epoch 20/30 loss 0.0470 AUC(ref) 0.9500 QWK 0.8492 acc 0.7757 sens(g>=3) 0.8299
  ep21 step 0/348 loss 0.0355
  ep21 step 20/348 loss 0.0516
  ep21 step 40/348 loss 0.0486
  ep21 step 60/348 loss 0.0480
  ep21 step 80/348 loss 0.0451
  ep21 step 100/348 loss 0.0450
  ep21 step 120/348 loss 0.0440
  ep21 step 140/348 loss 0.0457
