Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep8 step 200/348 loss 0.1693
  ep8 step 220/348 loss 0.1668
  ep8 step 240/348 loss 0.1676
  ep8 step 260/348 loss 0.1667
  ep8 step 280/348 loss 0.1657
  ep8 step 300/348 loss 0.1660
  ep8 step 320/348 loss 0.1641
  ep8 step 340/348 loss 0.1638
[grader] epoch 8/30 loss 0.1642 AUC(ref) 0.9577 QWK 0.8378 acc 0.7461 sens(g>=3) 0.7344
  ep9 step 0/348 loss 0.3152
  ep9 step 20/348 loss 0.1593
  ep9 step 40/348 loss 0.1495
  ep9 step 60/348 loss 0.1516
  ep9 step 80/348 loss 0.1548
  ep9 step 100/348 loss 0.1551
  ep9 step 120/348 loss 0.1537
  ep9 step 140/348 loss 0.1506
  ep9 step 160/348 loss 0.1474
  ep9 step 180/348 loss 0.1467
  ep9 step 200/348 loss 0.1445
  ep9 step 220/348 loss 0.1464
  ep9 step 240/348 loss 0.1452
  ep9 step 260/348 loss 0.1471
  ep9 step 280/348 loss 0.1463
  ep9 step 300/348 loss 0.1464
  ep9 step 320/348 loss 0.1435
  ep9 step 340/348 loss 0.1441
[grader] epoch 9/30 loss 0.1442 AUC(ref) 0.9590 QWK 0.8459 acc 0.7605 sens(g>=3) 0.7552
  ep10 step 0/348 loss 0.3801
  ep10 step 20/348 loss 0.1259
  ep10 step 40/348 loss 0.1426
  ep10 step 60/348 loss 0.1306
  ep10 step 80/348 loss 0.1433
  ep10 step 100/348 loss 0.1429
  ep10 step 120/348 loss 0.1480
  ep10 step 140/348 loss 0.1481
  ep10 step 160/348 loss 0.1458
  ep10 step 180/348 loss 0.1462
  ep10 step 200/348 loss 0.1436
  ep10 step 220/348 loss 0.1402
  ep10 step 240/348 loss 0.1408
  ep10 step 260/348 loss 0.1379
  ep10 step 280/348 loss 0.1378
  ep10 step 300/348 loss 0.1370
  ep10 step 320/348 loss 0.1364
  ep10 step 340/348 loss 0.1351
[grader] epoch 10/30 loss 0.1354 AUC(ref) 0.9588 QWK 0.8528 acc 0.7677 sens(g>=3) 0.7967
  ep11 step 0/348 loss 0.1018
  ep11 step 20/348 loss 0.1407
  ep11 step 40/348 loss 0.1335
  ep11 step 60/348 loss 0.1322
  ep11 step 80/348 loss 0.1303
  ep11 step 100/348 loss 0.1255
  ep11 step 120/348 loss 0.1288
  ep11 step 140/348 loss 0.1262
  ep11 step 160/348 loss 0.1249
  ep11 step 180/348 loss 0.1242
  ep11 step 200/348 loss 0.1242
  ep11 step 220/348 loss 0.1217
  ep11 step 240/348 loss 0.1250
  ep11 step 260/348 loss 0.1245
  ep11 step 280/348 loss 0.1231
  ep11 step 300/348 loss 0.1216
  ep11 step 320/348 loss 0.1219
  ep11 step 340/348 loss 0.1207
[grader] epoch 11/30 loss 0.1215 AUC(ref) 0.9597 QWK 0.8566 acc 0.7765 sens(g>=3) 0.8050
  ep12 step 0/348 loss 0.1066
  ep12 step 20/348 loss 0.1020
  ep12 step 40/348 loss 0.1001
